time,wave_height,wave_power
1999 Jan,1.052975806,5910.511774
1999 Feb,1.163165179,7214.323661
1999 Mar,1.034512097,5941.5125
1999 Apr,1.1106875,7442.741
1999 May,0.763709677,3350.945081
1999 Jun,0.768108333,3776.006667
1999 Jul,0.810520161,4742.06231
1999 Aug,0.671895161,2854.845081
1999 Sep,0.885116667,5569.969333
1999 Oct,0.75271371,3342.315726
1999 Nov,1.103041667,7344.8365
1999 Dec,0.668020161,2624.193468
2000 Jan,0.785274194,3042.429556
2000 Feb,0.672025862,2801.752069
2000 Mar,0.735153226,3104.652298
2000 Apr,0.931195833,5477.452083
2000 May,0.910584677,5389.452621
2000 Jun,0.948454167,7900.346642
2000 Jul,1.591754032,15553.86536
2000 Aug,0.787391129,4192.079722
2000 Sep,0.663391667,2418.339
2000 Oct,0.651741935,2237.776109
2000 Nov,0.792395833,4014.845421
2000 Dec,0.932939516,4773.089718
2001 Jan,0.722310484,2966.208226
2001 Feb,1.045821429,5442.135714
2001 Mar,0.911532258,4821.28875
2001 Apr,1.088183333,7754.247458
2001 May,1.086995968,9102.598944
2001 Jun,0.703370833,3877.215125
2001 Jul,0.803439516,5293.763823
2001 Aug,0.854693548,4342.39375
2001 Sep,0.95265,5346.28475
2001 Oct,0.820701613,4190.660524
2001 Nov,0.854904167,4120.303625
2001 Dec,1.176883065,7945.014516
2002 Jan,0.705455645,2897.326008
2002 Feb,0.837107143,3752.100491
2002 Mar,0.977104839,5317.872742
2002 Apr,0.861533333,5113.896292
2002 May,0.664693548,3038.00475
2002 Jun,0.775554167,5401.755679
2002 Jul,0.961133065,6996.432569
2002 Aug,0.604084677,2549.693923
2002 Sep,0.612691667,2600.582883
2002 Oct,0.428129032,1089.995968
2002 Nov,0.45985,1962.144763
2002 Dec,0.842427419,4103.827984
2003 Jan,0.887717742,5312.040242
2003 Feb,1.203660714,9398.144643
2003 Mar,1.099685484,6660.846371
2003 Apr,1.004516667,7415.524833
2003 May,0.93621371,5500.768226
2003 Jun,0.861983333,5145.211417
2003 Jul,0.834201613,5778.924073
2003 Aug,1.188326613,8497.182258
2003 Sep,0.826504167,3650.515
2003 Oct,0.885383065,5531.755081
2003 Nov,0.537879167,1663.264792
2003 Dec,0.647423387,2279.877621
2004 Jan,0.750971774,3162.117258
2004 Feb,0.901775862,5491.445948
2004 Mar,0.706870968,2991.232419
2004 Apr,0.8619125,4747.065792
2004 May,0.91041129,4828.606411
2004 Jun,0.7430125,4697.475979
2004 Jul,0.879701613,4856.459919
2004 Aug,0.540407258,2006.729315
2004 Sep,0.6767375,3390.675333
2004 Oct,0.678028226,2608.010323
2004 Nov,0.889383333,4787.934179
2004 Dec,0.610745968,2726.585726
2005 Jan,0.952048387,6082.921371
2005 Feb,1.112821429,7171.885714
2005 Mar,0.788169355,3846.487298
2005 Apr,0.661891667,3028.899667
2005 May,0.861431452,4400.101815
2005 Jun,0.768383333,5774.20175
2005 Jul,0.77075,3939.160976
2005 Aug,0.844649194,5221.143952
2005 Sep,0.742020833,3817.170083
2005 Oct,0.774947581,3353.190726
2005 Nov,0.667854167,2653.344042
2005 Dec,0.690258065,2777.12877
2006 Jan,0.857899194,5482.209516
2006 Feb,0.934379464,4809.234196
2006 Mar,0.849931452,4675.05625
2006 Apr,0.986504167,7849.450458
2006 May,0.767153226,3794.053347
2006 Jun,0.6919375,3391.625625
2006 Jul,0.886322581,6308.015081
2006 Aug,0.711846774,3346.556726
2006 Sep,0.559266667,2031.456433
2006 Oct,0.575669355,2350.924984
2006 Nov,0.739333333,3073.027875
2006 Dec,0.561193548,1952.188992
2007 Jan,0.852629032,4453.050363
2007 Feb,0.885647321,5194.96933
2007 Mar,1.003637097,5983.920202
2007 Apr,0.688283333,2690.399083
2007 May,0.633983871,2056.722863
2007 Jun,0.6848,3310.448933
2007 Jul,1.035471774,8563.154153
2007 Aug,0.825487903,5548.938024
2007 Sep,0.868983333,4545.032167
2007 Oct,0.561733871,1814.310294
2007 Nov,0.861241667,4194.509958
2007 Dec,1.077322581,6461.952419
2008 Jan,1.177967742,8086.319758
2008 Feb,0.90899569,5059.086638
2008 Mar,0.858564516,3715.107339
2008 Apr,1.059595833,6377.348583
2008 May,0.830262097,4202.095363
2008 Jun,0.7924125,4985.083667
2008 Jul,0.893419355,7200.526823
2008 Aug,0.751947581,3887.134593
2008 Sep,1.097904167,8575.576292
2008 Oct,0.625508065,2492.003468
2008 Nov,0.894816667,4149.196375
2008 Dec,0.845358871,3756.137863
2009 Jan,0.727701613,3295.435847
2009 Feb,0.902040179,4391.902679
2009 Mar,0.833314516,4367.478024
2009 Apr,1.17485,8149.049542
2009 May,0.842016129,4361.507016
2009 Jun,0.753158333,4570.567917
2009 Jul,0.783112903,4606.943427
2009 Aug,1.099072581,7809.632363
2009 Sep,0.942341667,4777.207083
2009 Oct,0.608729839,2329.110202
2009 Nov,0.410633333,973.5020417
2009 Dec,0.578556452,1898.689677
2010 Jan,0.746391129,3278.972581
2010 Feb,1.044142857,6530.092098
2010 Mar,0.928306452,5507.593952
2010 Apr,0.803229167,4229.943792
2010 May,1.091717742,7095.669597
2010 Jun,0.957895833,6383.6296
2010 Jul,0.785133065,4719.274234
2010 Aug,0.911504032,5262.511815
2010 Sep,0.763808333,3643.442633
2010 Oct,0.775024194,3477.043871
2010 Nov,0.625641667,2286.904042
2010 Dec,0.877282258,4016.07121
2011 Jan,1.07428629,7170.322177
2011 Feb,0.882678571,4706.200804
2011 Mar,1.059451613,6646.759677
2011 Apr,0.7961,3847.72525
2011 May,1.251657258,11075.76645
2011 Jun,1.049770833,7769.247417
2011 Jul,0.808544355,5468.034988
2011 Aug,0.541177419,2222.369585
2011 Sep,0.532441667,2467.173388
2011 Oct,0.993834677,5590.363952
2011 Nov,0.600495833,2386.763917
2011 Dec,1.079504032,5973.385565
2012 Jan,0.930233871,5512.652016
2012 Feb,0.82175,3522.378448
2012 Mar,1.004270161,5894.191089
2012 Apr,1.128091667,8260.536667
2012 May,0.682358871,3491.849931
2012 Jun,0.75255,3581.556
2012 Jul,1.107931452,8315.275887
2012 Aug,0.766717742,3400.95621
2012 Sep,0.979908333,6046.476258
2012 Oct,0.72603629,3102.071855
2012 Nov,0.55625,1666.343583
2012 Dec,1.053967742,7050.449234
2013 Jan,1.038423387,6133.86371
2013 Feb,0.901691964,4805.257768
2013 Mar,0.847185484,3892.622581
2013 Apr,0.770870833,4251.578667
2013 May,0.784858871,4541.68498
2013 Jun,0.937991667,6135.577542
2013 Jul,0.998258065,6727.296452
2013 Aug,0.953620968,5871.792137
2013 Sep,1.026875,6592.606167
2013 Oct,0.546133065,1923.67848
2013 Nov,0.828729167,3615.254375
2013 Dec,0.812504032,3582.985806